"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12"
"hydrocinnamic acid",1205,23385,47891,9855,1199,717,2984,1876,55023,745,986,126814
"hydroxycarbamate NIST",355,2654,390,1699,800,904,1029,600,1844,444,524,580
"hydroxylamine",4567,24896,7662,19581,20097,11668,34332,14613,40928,6618,10181,8082
"icosenoic acid",232502,12010,13639,3484,9118,46601,15685,42453,90540,4676,2590,569931
"indole-3-acetate",2807,2735,635,602,233,81,838,1439,1051,1655,487,1034
"indole-3-lactate",2500,22614,1130,509,617,235,673,8576,4560,394,207,42569
"inosine",1020,4417,384,26140,1781,497,2472,404,1980,20041,3099,7987
"inositol-4-monophosphate",538,3804,173,939,142,323,309,294,664,108,164,173
"inositol myo-",1393,8686,5249,7485,30490,357,16955,3546,19648,21003,16014,31456
"isoleucine",870042,680356,276395,757283,680840,159157,302399,684828,235961,1364548,780380,694604
"isolinoleic acid NIST",14900,10916,22319,3288,4918,12324,2441,29391,9553,645,617,59240
"isothreonic acid",410,1262,166,186,1491,152,1932,568,1631,2757,752,3711
"lactic acid",14188,13643,6793,16549,22389,3365,166684,213183,464763,17896,33826,34879
"lanosterol",1872,4719,697,7827,1116,1701,2177,1444,4508,2442,1183,3262
"lauric acid",10248,54995,23147,28192,14458,12768,42464,36652,133352,8185,26291,14834
"leucine",136569,1384304,434294,340957,1737424,107211,477092,920181,242708,1484015,1117229,1599536
"levanbiose",149,730,202,1074,687,164,5200,27009,1580,33756,14417,979
"levoglucosan",7840,7081,356,796,4835,474,18700,4638,8159,6371,6374,31353
"lignoceric acid",1952,10743,11198,6139,174531,7499,20036,15741,8069,10485,2855,34896
"linoleic acid",26601,5502,26999,2972,3779,4440,19010,50768,7095,15803,1391,10906
"lysine",824015,658892,395603,642425,669875,101440,219832,112992,572416,149748,574532,1161009
"lyxitol",3045,2185,795,743,3752,362,2801,1632,4837,1653,7208,2528
"malate",2197,4115,1281,2772,5374,227,3332,15140,3818,16903,879,1053
"maleimide",10774,9974,2471,2373,6026,1494,2977,4796,2618,1767,3509,30281
"methanolphosphate",793631,245085,429655,560169,48124,303347,1656,1022,954,32508,155258,7987
"methionine",213251,105358,61113,111366,140044,23366,19152,37083,36168,307873,80433,196292
"methionine sulfoxide",19061,30265,5681,12617,11843,2773,15256,9944,8572,31048,90942,21757
"monomyristin NIST",223,491,228,228,262,556,1480,430,1012,88,207,385
"monopalmitin-1-glyceride",11009,5989,1162,2793,3558,25821,12712,10862,10559,1261,4106,24125
"myristic acid",3839,8440,12687,5316,2469,17639,9608,36154,11546,12603,1889,18509
"naphtalene",3418,25947,902,11742,8949,7748,2743,1516,4179,3288,1261,1820
"N-methylalanine",167681,105942,28444,11369,16093,8244,14292,144446,772622,3163,7724,388639
"nonadecanoic acid",2434,4688,4404,2690,1409,13587,5464,11864,4721,5779,1719,7152
"octadecanol",1596,5391,1549,2958,2372,2289,4764,3415,16758,1586,2650,2330
"oleic acid",52841,6339,51043,3312,9460,64528,106410,174310,12649,60963,2166,63391
"ornithine",74382,59261,55222,66447,62835,3760,22557,23094,11907,172353,102527,23989
"orotic acid",587,1305,463,511,543,135,1676,4348,657,1007,616,3519
"oxoproline",88450,89243,49903,126586,159001,17343,119065,111312,211481,432692,122732,944627
"palatinose",911,1519,292,555,243867,373,761,152848,1096,10641,14329,45273
"palmitic acid",250433,131542,461197,72883,78799,476070,220696,725280,174803,188862,23403,390401
"palmitoleic acid",35130,21583,8583,8301,2325,11258,7416,50337,14171,13079,5287,33417
"pelargonic acid",4633,14809,7414,25011,13709,8329,34983,15634,64853,8168,9394,5221
"pentadecanoic acid",4743,18514,4817,4842,2565,9952,10576,17082,10578,9014,13339,8964
"phenylalanine",637104,498367,251818,307966,487528,92987,111113,271310,161999,524885,307943,148755
"phosphoric acid",1665633,1040021,7204190,4694846,2498885,12543992,831698,329248,797915,257302,643172,387467
"proline",743041,1515238,331185,613832,795166,57476,344140,108926,67976,1478153,601266,139842
"putrescine",1358254,1162586,1518793,14010,478514,248089,92837,2777242,816086,7511,26621,384090
"pyruvate",778,897,937,3522,4784,264,15704,13363,21712,9935,6075,5060
"ribitol",1558,1589,902,683,14987,751,29128,6588,3928,10171,96500,2695
"ribose",13011,27216,17492,73863,8655,3901,3302,1055,4618,9697,6080,8349
"serine",192397,473227,199659,562122,369181,55216,69820,33005,167714,671523,634330,147468
"shikimic acid",13055,9665,8285,1535,9611,1301,799,1033,1580,257937,5197,13463
"sorbitol",1903,6968,5372,3561,116483,2508,34803,191998,24841,168344,3434602,26102
"spermidine",3621,5612,9847,18821,1976,2973,1266,6677,6186,3928,399,1479
"stearic acid",1340501,686786,2657234,1195247,343866,3136780,2740405,5370106,1034928,1366102,256676,2754573
"succinic acid",388226,100785,12047,694987,68093,21899,61053,117692,506259,32102,23102,124334
"sucrose",395,1531,224,2623,1702,194,864,192,2999,1415,747,23106
"taurine",11973,54754,4536,620,3194,510,524,1138,857,2686,1571,14082
"threitol",1322,683,481,5084,2631,717,8135,2064,4999,1888,2069,3735
"threonic acid",189,496,179,317,587,128,1170,454,806,2010,1391,3182
"threonine",112535,214508,130960,338872,211732,33822,29725,86326,51023,652641,400377,116377
"tocopherol",748,1213,386,2996,513,1248,845,727,896,558,896,7983
"trehalose",1241,3928,1553,3097,221,1209,10155,86529,664,294943,3723,493
"tryptophan",886433,371871,189027,333747,313988,56865,143697,106450,99893,560080,407006,732294
"tyramine",761557,495214,282625,474174,654253,16554,163534,331426,831432,110296,405325,182129
"tyrosine",1142892,1047783,452088,742812,746196,171908,248520,355877,160819,982733,967974,384097
"uracil",61445,135110,58649,148065,6380,10678,24310,20295,10095,19191,4059,22004
"urea",98,11990,188,257,597923,134,1384286,11141,93404,42533,599406,4305
"uric acid",30387,714,3899,1038,523718,580,269872,1896,150207,66759,327982,136704
"uridine",351,3894,283,4108,637,242,528,253,464,2915,190,246
"valine",1124633,1227642,652835,992247,1394436,222010,430644,918195,826226,1307288,1073522,1080473
"xanthine",3704,8842,4668,10089,2521,1467,627,1828,651,4236,282,3798
"xylose",3533,3267,1848,12902,2070,758,9049,12730,9733,6323,9324,1007
